% Edge logfile: log_20240308_171742.426/log_edge_ctrl.txt
% 1 	Time (sec)
% 2 	heading mode (edge control == 2)
% 3 	Edge 1=left, 0=right
% 4 	Edge offset (signed in m; should be less than about 0.01)
% 5 	Measured edge value (m; positive is left)
% 6 	control value (rad/sec; positive is CCV)
% 7 	limited
1709914666.1570 2 0 0.0000 0.0000 0.0000 0
1709914666.1641 2 0 0.0000 0.0000 0.0000 0
1709914666.1729 2 0 0.0000 0.0000 0.0000 0
1709914666.1799 2 0 0.0000 0.0000 0.0000 0
1709914666.1885 2 0 0.0000 0.0000 0.0000 0
1709914666.1963 2 0 0.0000 0.0000 0.0000 0
1709914666.2043 2 0 0.0000 0.0000 0.0000 0
1709914666.2127 2 0 0.0000 0.0000 0.0000 0
1709914666.2204 2 0 0.0000 0.0000 0.0000 0
1709914666.2284 2 0 0.0000 0.0000 0.0000 0
1709914666.2360 2 0 0.0000 0.0000 0.0000 0
1709914666.2449 2 0 0.0000 0.0000 0.0000 0
1709914666.2529 2 0 0.0000 0.0000 0.0000 0
1709914666.2609 2 0 0.0000 0.0000 0.0000 0
1709914666.2685 2 0 0.0000 0.0000 0.0000 0
1709914666.2764 2 0 0.0000 0.0000 0.0000 0
1709914666.2842 2 0 0.0000 0.0000 0.0000 0
1709914666.2929 2 0 0.0000 0.0000 0.0000 0
1709914666.3008 2 0 0.0000 0.0000 0.0000 0
1709914666.3088 2 0 0.0000 0.0000 0.0000 0
1709914666.3164 2 0 0.0000 0.0000 0.0000 0
1709914666.3242 2 0 0.0000 0.0000 0.0000 0
1709914666.3328 2 0 0.0000 0.0000 0.0000 0
1709914666.3404 2 0 0.0000 0.0000 0.0000 0
1709914666.3482 2 0 0.0000 0.0000 0.0000 0
1709914666.3560 2 0 0.0000 0.0000 0.0000 0
1709914666.3647 2 0 0.0000 0.0000 0.0000 0
1709914666.3726 2 0 0.0000 0.0000 0.0000 0
1709914666.3805 2 0 0.0000 0.0000 0.0000 0
1709914666.3888 2 0 0.0000 0.0000 0.0000 0
1709914666.3967 2 0 0.0000 0.0000 0.0000 0
1709914666.4047 2 0 0.0000 0.0000 0.0000 0
1709914666.4122 2 0 0.0000 0.0000 0.0000 0
1709914666.4202 2 0 0.0000 0.0000 0.0000 0
1709914666.4281 2 0 0.0000 0.0000 0.0000 0
1709914666.4364 2 0 0.0000 0.0000 0.0000 0
1709914666.4442 2 0 0.0000 0.0000 0.0000 0
1709914666.4521 2 0 0.0000 0.0000 0.0000 0
1709914666.4607 2 0 0.0000 0.0000 0.0000 0
1709914666.4684 2 0 0.0000 0.0000 0.0000 0
1709914666.4766 2 0 0.0000 0.0000 0.0000 0
